URL;Date
https://apolut.net/wie-die-ukraine-fakes-ueber-angebliche-russische-verbrechen-produziert-von-thomas-roeper;2022-10-08
https://www.anti-spiegel.ru/2022/wie-die-ukraine-fakes-ueber-angebliche-russische-verbrechen-produziert;2022-10-08
https://exxpress.at/radikale-klimaprotest-bewegung-letzte-generation-erhaelt-156-420-e-von-regierung;2022-07-23
https://unser-mitteleuropa.com/ukraine-gesteht-massive-veruntreuung-von-hilfsgeldern;2022-07-10
https://ansage.org/korrupte-ukraine-fast-alle-eu-hilfsgueter-landen-offenbar-auf-dem-schwarzmarkt;2022-07-10
https://www.wochenblick.at/politik/bundeskanzler-scholz-mit-fragwuerdigem-demokratie-und-amtsverstaendnis;2022-05-02
https://www.anti-spiegel.ru/2022/polens-praesident-spricht-offen-ueber-annektierung-der-westukraine;2022-05-09
https://www.news.de/politik/856438437/robert-habeck-mit-energiesparmassnahmen-gegen-gas-notlage-im-winter-keine-mindesttemperatur-in-wohngebaeuden-temperatur-in-arbeitsraeumen/1;2022-08-17
https://overton-magazin.de/krass-konkret/ukraine-die-rada-abgeordneten-haben-ihre-einkuenfte-um-70-prozent-erhoeht;2022-08-22
https://exxpress.at/radikale-klimaprotest-bewegung-letzte-generation-erhaelt-156-420-e-von-regierung;2022-07-23
https://gloria.tv/share/uRbnDMs9x7qt21QX8CmMtThUc;2022-03-14
https://report24.news/paukenschlag-pfizer-gibt-die-luege-durch-die-menschen-weltweit-zur-impfung-gezwungen-wurden-endlich-zu;2022-10-12
https://tkp.at/2022/10/11/pfizer-bestaetigt-vor-eu-covid-ausschuss-covid-impfpass-beruhte-auf-grosser-luege;2022-10-12
https://www.achgut.com/artikel/pfizer_vor_der_eu_bestaetigung_einer_billigen_luege;2022-10-12
https://deutschlandkurier.de/2022/08/corona-impfschaeden-wer-die-wahrheit-sagt-wird-fertiggemacht;2022-08-23
https://reitschuster.de/post/knapp-440-000-faelle-von-impfnebenwirkungen-bei-der-tk;2022-08-05
https://uncutnews.ch/nach-der-vierten-impfung-sterben-3-aerzte-aus-derselben-krankenhausgruppe-kurz-nacheinander;2022-07-26
https://report24.news/beruehmte-system-influencerin-erleidet-mit-26-jahren-hirnschlag-liegt-im-koma/?feed_id=19470;2022-07-25
https://www.wochenblick.at/brisant/26-jaehrige-influencerin-mit-schwerem-schlaganfall-war-doppelt-geimpft;2022-07-25
https://reitschuster.de/post/cdc-gibt-zu-mrna-und-spikeprotein-verbleiben-lange-im-koerper;2022-08-15
https://uncutnews.ch/die-zahl-der-todesfaelle-bei-sportlern-ist-seit-2021-auf-ein-rekordhoch-gestiegen-und-niemand-darf-fragen-warum;2022-08-01
https://report24.news/ab-13-jahren-lange-liste-ploetzlich-verstorbener-oder-schwerkranker-sportler;2022-10-28
https://ansage.org/deutschland-wo-der-ulrich-deppendorf-heisst;2021-10-26
